Source	Revision	Code	Name
mca	201802	140826	绛县
mca	201802	140827	垣曲县
mca	201802	140828	夏县
mca	201802	140829	平陆县
mca	201802	140830	芮城县
mca	201802	140881	永济市
mca	201802	140882	河津市
mca	201802	140900	忻州市
mca	201802	140902	忻府区
mca	201802	140921	定襄县
mca	201802	140922	五台县
mca	201802	140923	代县
mca	201802	140924	繁峙县
mca	201802	140925	宁武县
mca	201802	140926	静乐县
mca	201802	140927	神池县
mca	201802	140928	五寨县
mca	201802	140929	岢岚县
mca	201802	140930	河曲县
mca	201802	140931	保德县
mca	201802	140932	偏关县
mca	201802	140981	原平市
mca	201802	141000	临汾市
mca	201802	141002	尧都区
mca	201802	141021	曲沃县
mca	201802	141022	翼城县
mca	201802	141023	襄汾县
mca	201802	141024	洪洞县
mca	201802	141025	古县
mca	201802	141026	安泽县
mca	201802	141027	浮山县
mca	201802	141028	吉县
mca	201802	141029	乡宁县
mca	201802	141030	大宁县
mca	201802	141031	隰县
mca	201802	141032	永和县
mca	201802	141033	蒲县
mca	201802	141034	汾西县
mca	201802	141081	侯马市
mca	201802	141082	霍州市
mca	201802	141100	吕梁市
mca	201802	141102	离石区
mca	201802	141121	文水县
mca	201802	141122	交城县
mca	201802	141123	兴县
mca	201802	141124	临县
mca	201802	141125	柳林县
mca	201802	141126	石楼县
mca	201802	141127	岚县
mca	201802	141128	方山县
mca	201802	141129	中阳县
mca	201802	141130	交口县
mca	201802	141181	孝义市
mca	201802	141182	汾阳市
mca	201802	150000	内蒙古自治区
mca	201802	150100	呼和浩特市
mca	201802	150102	新城区
mca	201802	150103	回民区
mca	201802	150104	玉泉区
mca	201802	150105	赛罕区
mca	201802	150121	土默特左旗
mca	201802	150122	托克托县
mca	201802	150123	和林格尔县
mca	201802	150124	清水河县
mca	201802	150125	武川县
mca	201802	150200	包头市
mca	201802	150202	东河区
mca	201802	150203	昆都仑区
mca	201802	150204	青山区
mca	201802	150205	石拐区
mca	201802	150206	白云鄂博矿区
mca	201802	150207	九原区
mca	201802	150221	土默特右旗
mca	201802	150222	固阳县
mca	201802	150223	达尔罕茂明安联合旗
mca	201802	150300	乌海市
mca	201802	150302	海勃湾区
mca	201802	150303	海南区
mca	201802	150304	乌达区
mca	201802	150400	赤峰市
mca	201802	150402	红山区
mca	201802	150403	元宝山区
mca	201802	150404	松山区
mca	201802	150421	阿鲁科尔沁旗
mca	201802	150422	巴林左旗
mca	201802	150423	巴林右旗
mca	201802	150424	林西县
mca	201802	150425	克什克腾旗
mca	201802	150426	翁牛特旗
mca	201802	150428	喀喇沁旗
mca	201802	150429	宁城县
mca	201802	150430	敖汉旗
mca	201802	150500	通辽市
mca	201802	150502	科尔沁区
mca	201802	150521	科尔沁左翼中旗
mca	201802	150522	科尔沁左翼后旗
mca	201802	150523	开鲁县
mca	201802	150524	库伦旗
mca	201802	150525	奈曼旗
mca	201802	150526	扎鲁特旗
mca	201802	150581	霍林郭勒市
mca	201802	150600	鄂尔多斯市
mca	201802	150602	东胜区
mca	201802	150603	康巴什区
mca	201802	150621	达拉特旗
mca	201802	150622	准格尔旗
mca	201802	150623	鄂托克前旗
mca	201802	150624	鄂托克旗
mca	201802	150625	杭锦旗
mca	201802	150626	乌审旗
mca	201802	150627	伊金霍洛旗
mca	201802	150700	呼伦贝尔市
mca	201802	150702	海拉尔区
mca	201802	150703	扎赉诺尔区
mca	201802	150721	阿荣旗
mca	201802	150722	莫力达瓦达斡尔族自治旗
mca	201802	150723	鄂伦春自治旗
mca	201802	150724	鄂温克族自治旗
mca	201802	150725	陈巴尔虎旗
mca	201802	150726	新巴尔虎左旗
mca	201802	150727	新巴尔虎右旗
mca	201802	150781	满洲里市
mca	201802	150782	牙克石市
mca	201802	150783	扎兰屯市
mca	201802	150784	额尔古纳市
mca	201802	150785	根河市
mca	201802	150800	巴彦淖尔市
mca	201802	150802	临河区
mca	201802	150821	五原县
mca	201802	150822	磴口县
mca	201802	150823	乌拉特前旗
mca	201802	150824	乌拉特中旗
mca	201802	150825	乌拉特后旗
mca	201802	150826	杭锦后旗
mca	201802	150900	乌兰察布市
mca	201802	150902	集宁区
mca	201802	150921	卓资县
mca	201802	150922	化德县
mca	201802	150923	商都县
mca	201802	150924	兴和县
mca	201802	150925	凉城县
mca	201802	150926	察哈尔右翼前旗
mca	201802	150927	察哈尔右翼中旗
mca	201802	150928	察哈尔右翼后旗
mca	201802	150929	四子王旗
mca	201802	150981	丰镇市
mca	201802	152200	兴安盟
mca	201802	152201	乌兰浩特市
mca	201802	152202	阿尔山市
mca	201802	152221	科尔沁右翼前旗
mca	201802	152222	科尔沁右翼中旗
mca	201802	152223	扎赉特旗
mca	201802	152224	突泉县
mca	201802	152500	锡林郭勒盟
mca	201802	152501	二连浩特市
mca	201802	152502	锡林浩特市
mca	201802	152522	阿巴嘎旗
mca	201802	152523	苏尼特左旗
mca	201802	152524	苏尼特右旗
mca	201802	152525	东乌珠穆沁旗
mca	201802	152526	西乌珠穆沁旗
mca	201802	152527	太仆寺旗
mca	201802	152528	镶黄旗
mca	201802	152529	正镶白旗
mca	201802	152530	正蓝旗
mca	201802	152531	多伦县
mca	201802	152900	阿拉善盟
mca	201802	152921	阿拉善左旗
mca	201802	152922	阿拉善右旗
mca	201802	152923	额济纳旗
mca	201802	210000	辽宁省
mca	201802	210100	沈阳市
mca	201802	210102	和平区
mca	201802	210103	沈河区
mca	201802	210104	大东区
mca	201802	210105	皇姑区
mca	201802	210106	铁西区
mca	201802	210111	苏家屯区
mca	201802	210112	浑南区
mca	201802	210113	沈北新区
mca	201802	210114	于洪区
mca	201802	210115	辽中区
mca	201802	210123	康平县
mca	201802	210124	法库县
mca	201802	210181	新民市
mca	201802	210200	大连市
mca	201802	210202	中山区
mca	201802	210203	西岗区
mca	201802	210204	沙河口区
mca	201802	210211	甘井子区
mca	201802	210212	旅顺口区
mca	201802	210213	金州区
mca	201802	210214	普兰店区
mca	201802	210224	长海县
mca	201802	210281	瓦房店市
mca	201802	210283	庄河市
mca	201802	210300	鞍山市
mca	201802	210302	铁东区
mca	201802	210303	铁西区
mca	201802	210304	立山区
mca	201802	210311	千山区
mca	201802	210321	台安县
mca	201802	210323	岫岩满族自治县
mca	201802	210381	海城市
mca	201802	210400	抚顺市
mca	201802	210402	新抚区
mca	201802	210403	东洲区
mca	201802	210404	望花区
mca	201802	210411	顺城区
mca	201802	210421	抚顺县
mca	201802	210422	新宾满族自治县
mca	201802	210423	清原满族自治县
mca	201802	210500	本溪市
mca	201802	210502	平山区
mca	201802	210503	溪湖区
mca	201802	210504	明山区
mca	201802	210505	南芬区
mca	201802	210521	本溪满族自治县
mca	201802	210522	桓仁满族自治县
mca	201802	210600	丹东市
mca	201802	210602	元宝区
mca	201802	210603	振兴区
mca	201802	210604	振安区
mca	201802	210624	宽甸满族自治县
mca	201802	210681	东港市
mca	201802	210682	凤城市
mca	201802	210700	锦州市
mca	201802	210702	古塔区
mca	201802	210703	凌河区
mca	201802	210711	太和区
mca	201802	210726	黑山县
mca	201802	210727	义县
mca	201802	210781	凌海市
mca	201802	210782	北镇市
mca	201802	210800	营口市
mca	201802	210802	站前区
mca	201802	210803	西市区
mca	201802	210804	鲅鱼圈区
mca	201802	210811	老边区
mca	201802	210881	盖州市
mca	201802	210882	大石桥市
mca	201802	210900	阜新市
mca	201802	210902	海州区
mca	201802	210903	新邱区
mca	201802	210904	太平区
mca	201802	210905	清河门区
mca	201802	210911	细河区
mca	201802	210921	阜新蒙古族自治县
mca	201802	210922	彰武县
mca	201802	211000	辽阳市
mca	201802	211002	白塔区
mca	201802	211003	文圣区
mca	201802	211004	宏伟区
mca	201802	211005	弓长岭区
mca	201802	211011	太子河区
mca	201802	211021	辽阳县
mca	201802	211081	灯塔市
mca	201802	211100	盘锦市
mca	201802	211102	双台子区
mca	201802	211103	兴隆台区
mca	201802	211104	大洼区
mca	201802	211122	盘山县
mca	201802	211200	铁岭市
mca	201802	211202	银州区
mca	201802	211204	清河区
mca	201802	211221	铁岭县
mca	201802	211223	西丰县
mca	201802	211224	昌图县
mca	201802	211281	调兵山市
mca	201802	211282	开原市
mca	201802	211300	朝阳市
mca	201802	211302	双塔区
mca	201802	211303	龙城区
mca	201802	211321	朝阳县
mca	201802	211322	建平县
mca	201802	211324	喀喇沁左翼蒙古族自治县
mca	201802	211381	北票市
mca	201802	211382	凌源市
mca	201802	211400	葫芦岛市
mca	201802	211402	连山区
mca	201802	211403	龙港区
mca	201802	211404	南票区
mca	201802	211421	绥中县
mca	201802	211422	建昌县
mca	201802	211481	兴城市
mca	201802	220000	吉林省
mca	201802	220100	长春市
mca	201802	220102	南关区
mca	201802	220103	宽城区
mca	201802	220104	朝阳区
mca	201802	220105	二道区
mca	201802	220106	绿园区
mca	201802	220112	双阳区
mca	201802	220113	九台区
mca	201802	220122	农安县
mca	201802	220182	榆树市
mca	201802	220183	德惠市
mca	201802	220200	吉林市
mca	201802	220202	昌邑区
mca	201802	220203	龙潭区
mca	201802	220204	船营区
mca	201802	220211	丰满区
mca	201802	220221	永吉县
mca	201802	220281	蛟河市
mca	201802	220282	桦甸市
mca	201802	220283	舒兰市
mca	201802	220284	磐石市
mca	201802	220300	四平市
mca	201802	220302	铁西区
mca	201802	220303	铁东区
mca	201802	220322	梨树县
mca	201802	220323	伊通满族自治县
mca	201802	220381	公主岭市
mca	201802	220382	双辽市
mca	201802	220400	辽源市
mca	201802	220402	龙山区
mca	201802	220403	西安区
mca	201802	220421	东丰县
mca	201802	220422	东辽县
mca	201802	220500	通化市
mca	201802	220502	东昌区
mca	201802	220503	二道江区
mca	201802	220521	通化县
mca	201802	220523	辉南县
mca	201802	220524	柳河县
mca	201802	220581	梅河口市
mca	201802	220582	集安市
mca	201802	220600	白山市
mca	201802	220602	浑江区
mca	201802	220605	江源区
mca	201802	220621	抚松县
mca	201802	220622	靖宇县
mca	201802	220623	长白朝鲜族自治县
mca	201802	220681	临江市
mca	201802	220700	松原市
mca	201802	220702	宁江区
mca	201802	220721	前郭尔罗斯蒙古族自治县
mca	201802	220722	长岭县
mca	201802	220723	乾安县
mca	201802	220781	扶余市
mca	201802	220800	白城市
mca	201802	220802	洮北区
mca	201802	220821	镇赉县
mca	201802	220822	通榆县
mca	201802	220881	洮南市
mca	201802	220882	大安市
mca	201802	222400	延边朝鲜族自治州
mca	201802	222401	延吉市
mca	201802	222402	图们市
mca	201802	222403	敦化市
mca	201802	222404	珲春市
mca	201802	222405	龙井市
mca	201802	222406	和龙市
mca	201802	222424	汪清县
mca	201802	222426	安图县
mca	201802	230000	黑龙江省
mca	201802	230100	哈尔滨市
mca	201802	230102	道里区
mca	201802	230103	南岗区
mca	201802	230104	道外区
mca	201802	230108	平房区
mca	201802	230109	松北区
mca	201802	230110	香坊区
mca	201802	230111	呼兰区
mca	201802	230112	阿城区
mca	201802	230113	双城区
mca	201802	230123	依兰县
mca	201802	230124	方正县
mca	201802	230125	宾县
mca	201802	230126	巴彦县
mca	201802	230127	木兰县
mca	201802	230128	通河县
mca	201802	230129	延寿县
mca	201802	230183	尚志市
mca	201802	230184	五常市
mca	201802	230200	齐齐哈尔市
mca	201802	230202	龙沙区
mca	201802	230203	建华区
mca	201802	230204	铁锋区
mca	201802	230205	昂昂溪区
mca	201802	230206	富拉尔基区
